OBJECTID,latitude,longitude,scientific,common_nam,date_time,last_mod,geom_WKT
1,-24.7914,152.4367,Lepidochelys olivacea,Olive Ridley,1/01/1968,12/01/2021,POINT (152.4367 -24.7914)
2,-10.2267,142.1752,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1752 -10.2266999999999)
3,-23.4494,151.0574,Lepidochelys olivacea,Olive Ridley,1/01/1969,12/01/2021,POINT (151.0574 -23.4494)
4,-10.7764,142.3921,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.3921 -10.7764)
5,-10.7143,142.5004,Lepidochelys olivacea,Olive Ridley,1/01/2005,12/01/2021,POINT (142.5004 -10.7143)
6,-22.1395,149.9386,Lepidochelys olivacea,Olive Ridley,1/01/2001,12/01/2021,POINT (149.9386 -22.1394999999999)
7,-9.61,141.5683,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (141.5683 -9.60999999999996)
8,-21.0345,149.1752,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (149.1752 -21.0345)
9,-21.4165,149.331,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (149.331 -21.4164999999999)
10,-10.374,142.1321,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1321 -10.374)
11,-20.7113,149.1404,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.1404 -20.7112999999999)
12,-21.1,152.4833,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (152.4833 -21.1)
13,-20.8302,148.8918,Lepidochelys olivacea,Olive Ridley,1/01/1995,12/01/2021,POINT (148.8918 -20.8301999999999)
14,-14.1167,144.5167,Lepidochelys olivacea,Olive Ridley,1/01/1975,12/01/2021,POINT (144.5167 -14.1167)
15,-20.9023,148.9945,Lepidochelys olivacea,Olive Ridley,1/01/1994,12/01/2021,POINT (148.9945 -20.9023)
16,-16.7507,139.1609,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (139.1609 -16.7506999999999)
17,-16.7767,138.655,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (138.655 -16.7766999999999)
18,-21.65,152.37,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (152.37 -21.65)
19,-12.1363,143.1053,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.1053 -12.1362999999999)
20,-23.433,151.9167,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (151.9167 -23.4329999999999)
21,-20.8251,149.2953,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.2953 -20.8251)
22,-24,151.74,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (151.74 -23.9999999999999)
23,-20.8793,148.9546,Lepidochelys olivacea,Olive Ridley,1/01/1997,12/01/2021,POINT (148.9546 -20.8792999999999)
24,-15.9087,141.3923,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (141.3923 -15.9087)
25,-9.8383,142.7467,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.7467 -9.83829999999995)
26,-20.9392,149.4822,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.4822 -20.9392)
27,-21.3295,149.317,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.317 -21.3294999999999)
28,-20.6692,149.165,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.165 -20.6691999999999)
29,-10.7667,142.21,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.21 -10.7667)
30,-23.2,150.9383,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (150.9383 -23.1999999999999)
31,-11.0039,142.7447,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.7447 -11.0038999999999)
32,-23.4033,151.1533,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (151.1533 -23.4032999999999)
33,-10.7196,142.4595,Lepidochelys olivacea,Olive Ridley,1/01/2005,12/01/2021,POINT (142.4595 -10.7196)
34,-24.9204,152.4928,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (152.4928 -24.9204)
35,-11.6,144.0167,Lepidochelys olivacea,Olive Ridley,1/01/1982,12/01/2021,POINT (144.0167 -11.6)
36,-10.8406,142.3175,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.3175 -10.8405999999999)
37,-20.7852,149.3917,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.3917 -20.7852)
38,-10.9246,142.1702,Lepidochelys olivacea,Olive Ridley,1/01/2005,12/01/2021,POINT (142.1702 -10.9245999999999)
39,-23.433,151.9167,Lepidochelys olivacea,Olive Ridley,1/01/1986,12/01/2021,POINT (151.9167 -23.4329999999999)
40,-10.3518,142.0621,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.0621 -10.3518)
41,-21.0267,149.1571,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (149.1571 -21.0266999999999)
42,-20.2837,149.0742,Lepidochelys olivacea,Olive Ridley,1/01/1979,12/01/2021,POINT (149.0742 -20.2837)
43,-24.7914,152.4367,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (152.4367 -24.7914)
44,-10.6919,142.5316,Lepidochelys olivacea,Olive Ridley,1/01/2005,12/01/2021,POINT (142.5316 -10.6919)
45,-10.2428,142.071,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.071 -10.2427999999999)
46,-24.867,152.4811,Lepidochelys olivacea,Olive Ridley,1/01/1978,12/01/2021,POINT (152.4811 -24.867)
47,-16.67,139.4472,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (139.4472 -16.67)
48,-23.29,150.8133,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (150.8133 -23.29)
49,-20.628,149.072,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.072 -20.6279999999999)
50,-20.8242,149.2942,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.2942 -20.8242)
51,-24.17,151.8333,Lepidochelys olivacea,Olive Ridley,1/01/1968,12/01/2021,POINT (151.8333 -24.17)
52,-20.8302,148.8918,Lepidochelys olivacea,Olive Ridley,1/01/1974,12/01/2021,POINT (148.8918 -20.8301999999999)
53,-17.0987,139.6181,Lepidochelys olivacea,Olive Ridley,1/01/2005,12/01/2021,POINT (139.6181 -17.0987)
54,-23.2367,150.8267,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (150.8267 -23.2366999999999)
55,-9.9167,144.0667,Lepidochelys olivacea,Olive Ridley,1/01/1977,12/01/2021,POINT (144.0667 -9.91669999999993)
56,-12.3465,143.163,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.163 -12.3464999999999)
57,-20.9023,148.9945,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (148.9945 -20.9023)
58,-24.4394,152.0074,Lepidochelys olivacea,Olive Ridley,1/01/1969,12/01/2021,POINT (152.0074 -24.4394)
59,-20.4916,148.8078,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (148.8078 -20.4915999999999)
60,-10.1865,142.1398,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1398 -10.1865)
61,-13.3413,141.652,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (141.652 -13.3412999999999)
62,-16.6909,139.4784,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (139.4784 -16.6908999999999)
63,-11.45,144.0167,Lepidochelys olivacea,Olive Ridley,1/01/1986,12/01/2021,POINT (144.0167 -11.4499999999999)
64,-21.3222,149.2926,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (149.2926 -21.3222)
65,-11.7552,142.8576,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.8576 -11.7551999999999)
66,-12.3938,143.2499,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.2499 -12.3937999999999)
67,-10.1876,142.128,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.128 -10.1876)
68,-11.4833,143.0167,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (143.0167 -11.4832999999999)
69,-23.13,150.75,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (150.75 -23.1299999999999)
70,-12.3487,143.1327,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.1327 -12.3487)
71,-21.9956,149.8805,Lepidochelys olivacea,Olive Ridley,1/01/2001,12/01/2021,POINT (149.8805 -21.9956)
72,-10.685,142.5278,Lepidochelys olivacea,Olive Ridley,1/01/2005,12/01/2021,POINT (142.5278 -10.6849999999999)
73,-20.7414,149.1516,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.1516 -20.7413999999999)
74,-11.1283,142.1517,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.1517 -11.1283)
75,-10.2455,142.1175,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1175 -10.2454999999999)
76,-23.87,151.31,Lepidochelys olivacea,Olive Ridley,1/01/1969,12/01/2021,POINT (151.31 -23.8699999999999)
77,-14.6691,145.448,Lepidochelys olivacea,Olive Ridley,1/01/1973,12/01/2021,POINT (145.448 -14.6691)
78,-11.8909,143.1067,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.1067 -11.8908999999999)
79,-24.8223,152.4646,Lepidochelys olivacea,Olive Ridley,1/01/1972,12/01/2021,POINT (152.4646 -24.8222999999999)
80,-21.8142,149.4442,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.4442 -21.8142)
81,-20.4833,149.0833,Lepidochelys olivacea,Olive Ridley,1/01/1979,12/01/2021,POINT (149.0833 -20.4832999999999)
82,-22.3933,152.605,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (152.605 -22.3933)
83,-25.2485,152.8037,Lepidochelys olivacea,Olive Ridley,1/01/1978,12/01/2021,POINT (152.8037 -25.2485)
84,-20.6542,149.0788,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.0788 -20.6541999999999)
85,-21.9515,149.6604,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.6604 -21.9515)
86,-24.18,151.89,Lepidochelys olivacea,Olive Ridley,1/01/1974,12/01/2021,POINT (151.89 -24.1799999999999)
87,-10.4667,143.125,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (143.125 -10.4666999999999)
88,-9.905,142.7733,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.7733 -9.90499999999997)
89,-23.8,151.3567,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (151.3567 -23.8)
90,-23.0483,150.8783,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (150.8783 -23.0483)
91,-23.4767,151.0983,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (151.0983 -23.4766999999999)
92,-20.8948,148.9876,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (148.9876 -20.8948)
93,-13.0625,143.5113,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.5113 -13.0624999999999)
94,-25.0748,152.5455,Lepidochelys olivacea,Olive Ridley,1/01/1978,12/01/2021,POINT (152.5455 -25.0748)
95,-12.0309,141.8232,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (141.8232 -12.0309)
96,-23.3,151.7,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (151.7 -23.3)
97,-23.3,151.7,Lepidochelys olivacea,Olive Ridley,1/01/1977,12/01/2021,POINT (151.7 -23.3)
98,-24.8223,152.4646,Lepidochelys olivacea,Olive Ridley,1/01/1968,12/01/2021,POINT (152.4646 -24.8222999999999)
99,-20.635,149.0638,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.0638 -20.6349999999999)
100,-24.8154,152.4624,Lepidochelys olivacea,Olive Ridley,1/01/1971,12/01/2021,POINT (152.4624 -24.8154)
101,-11.45,144.0167,Lepidochelys olivacea,Olive Ridley,1/01/1982,12/01/2021,POINT (144.0167 -11.4499999999999)
102,-10.3533,142.1067,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.1067 -10.3532999999999)
103,-12.3441,143.1723,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.1723 -12.3441)
104,-20.8948,148.9876,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (148.9876 -20.8948)
105,-22.0174,149.8236,Lepidochelys olivacea,Olive Ridley,1/01/2001,12/01/2021,POINT (149.8236 -22.0174)
106,-20.5427,148.9259,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (148.9259 -20.5427)
107,-15.0746,141.6486,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (141.6486 -15.0746)
108,-24.2523,151.935,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (151.935 -24.2522999999999)
109,-11.45,144,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (144.0 -11.4499999999999)
110,-10.058,142.1054,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1054 -10.0579999999999)
111,-20.7849,148.8548,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (148.8548 -20.7848999999999)
112,-20.5815,149.1137,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.1137 -20.5814999999999)
113,-11.1667,143.0167,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (143.0167 -11.1666999999999)
114,-24.8133,152.4632,Lepidochelys olivacea,Olive Ridley,1/01/1997,12/01/2021,POINT (152.4632 -24.8133)
115,-24.7721,152.4172,Lepidochelys olivacea,Olive Ridley,1/01/1980,12/01/2021,POINT (152.4172 -24.7721)
116,-9.95,144.0333,Lepidochelys olivacea,Olive Ridley,1/01/1977,12/01/2021,POINT (144.0333 -9.94999999999993)
117,-16.95,150,Lepidochelys olivacea,Olive Ridley,1/01/1997,12/01/2021,POINT (150.0 -16.9499999999999)
118,-20.823,149.2951,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.2951 -20.823)
119,-10.7117,142.595,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.595 -10.7117)
120,-10.17,142.83,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.83 -10.17)
121,-16.5891,139.469,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (139.469 -16.5891)
122,-11.9383,143.4867,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (143.4867 -11.9383)
123,-23.7667,151.3167,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (151.3167 -23.7667)
124,-21.8488,149.7986,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.7986 -21.8488)
125,-21.497,149.9285,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.9285 -21.497)
126,-20.915,149.0166,Lepidochelys olivacea,Olive Ridley,1/01/1997,12/01/2021,POINT (149.0166 -20.915)
127,-10.9817,142.125,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.125 -10.9816999999999)
128,-16.7622,139.1421,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (139.1421 -16.7622)
129,-21.9555,149.6583,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.6583 -21.9555)
130,-21.4758,149.3886,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.3886 -21.4757999999999)
131,-21.1107,149.2235,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.2235 -21.1107)
132,-22.0045,149.8512,Lepidochelys olivacea,Olive Ridley,1/01/1970,12/01/2021,POINT (149.8512 -22.0045)
133,-20.915,149.0166,Lepidochelys olivacea,Olive Ridley,1/01/1995,12/01/2021,POINT (149.0166 -20.915)
134,-10.1949,142.1123,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1123 -10.1949)
135,-12.0167,141.8333,Lepidochelys olivacea,Olive Ridley,1/01/2006,12/01/2021,POINT (141.8333 -12.0167)
136,-20.5452,149.1177,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.1177 -20.5452)
137,-14.8547,141.5893,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (141.5893 -14.8547)
138,-13.0506,141.616,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (141.616 -13.0506)
139,-19.1,146.8667,Lepidochelys olivacea,Olive Ridley,1/01/1979,12/01/2021,POINT (146.8667 -19.1)
140,-21.2491,149.208,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.208 -21.2490999999999)
141,-22.3428,150.2579,Lepidochelys olivacea,Olive Ridley,1/01/1989,12/01/2021,POINT (150.2579 -22.3428)
142,-9.95,144.0333,Lepidochelys olivacea,Olive Ridley,1/01/1978,12/01/2021,POINT (144.0333 -9.94999999999993)
143,-10.0782,142.0943,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.0943 -10.0782)
144,-24.7721,152.4172,Lepidochelys olivacea,Olive Ridley,1/01/1979,12/01/2021,POINT (152.4172 -24.7721)
145,-20.7798,149.3867,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.3867 -20.7798)
146,-20.864,148.9384,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (148.9384 -20.864)
147,-21.5917,149.4724,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.4724 -21.5916999999999)
148,-21.3222,149.2926,Lepidochelys olivacea,Olive Ridley,1/01/1993,12/01/2021,POINT (149.2926 -21.3222)
149,-20.9203,149.4098,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.4098 -20.9202999999999)
150,-21.0733,149.2275,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.2275 -21.0733)
151,-22.0778,149.5163,Lepidochelys olivacea,Olive Ridley,1/01/2001,12/01/2021,POINT (149.5163 -22.0778)
152,-12.9995,141.5794,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (141.5794 -12.9995)
153,-24.7721,152.4172,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (152.4172 -24.7721)
154,-16.0333,150.0167,Lepidochelys olivacea,Olive Ridley,1/01/1997,12/01/2021,POINT (150.0167 -16.0332999999999)
155,-11.8833,143.6333,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (143.6333 -11.8833)
156,-27.417,153.533,Lepidochelys olivacea,Olive Ridley,1/01/1992,12/01/2021,POINT (153.533 -27.417)
157,-23.9,152.3833,Lepidochelys olivacea,Olive Ridley,1/01/1977,12/01/2021,POINT (152.3833 -23.9)
158,-22.1295,150.0435,Lepidochelys olivacea,Olive Ridley,1/01/1970,12/01/2021,POINT (150.0435 -22.1295)
159,-22.3617,152.7117,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (152.7117 -22.3616999999999)
160,-23.7167,151.3,Lepidochelys olivacea,Olive Ridley,1/01/1969,12/01/2021,POINT (151.3 -23.7166999999999)
161,-19.7333,148.3667,Lepidochelys olivacea,Olive Ridley,1/01/1983,12/01/2021,POINT (148.3667 -19.7332999999999)
162,-23.433,151.9167,Lepidochelys olivacea,Olive Ridley,1/01/1976,12/01/2021,POINT (151.9167 -23.4329999999999)
163,-20.9137,149.3951,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.3951 -20.9136999999999)
164,-21.3745,149.3157,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (149.3157 -21.3745)
165,-12.8446,143.5436,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.5436 -12.8446)
166,-24.8133,152.4632,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (152.4632 -24.8133)
167,-20.6882,149.1992,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.1992 -20.6881999999999)
168,-21.6024,149.7806,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.7806 -21.6023999999999)
169,-21.9771,149.6643,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.6643 -21.9771)
170,-23.433,151.9167,Lepidochelys olivacea,Olive Ridley,1/01/1980,12/01/2021,POINT (151.9167 -23.4329999999999)
171,-12.25,143.2333,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.2333 -12.2499999999999)
172,-21.9862,149.8107,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.8107 -21.9861999999999)
173,-20.8721,148.9597,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (148.9597 -20.8720999999999)
174,-24.7316,152.3649,Lepidochelys olivacea,Olive Ridley,1/01/1969,12/01/2021,POINT (152.3649 -24.7316)
175,-9.9983,143.03,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (143.03 -9.99829999999997)
176,-20.9314,149.4747,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.4747 -20.9313999999999)
177,-20.7904,149.2746,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.2746 -20.7904)
178,-21.3859,149.3127,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (149.3127 -21.3858999999999)
179,-10.2412,142.1199,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1199 -10.2411999999999)
180,-23.485,151.1067,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (151.1067 -23.485)
181,-10.2102,142.1448,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1448 -10.2101999999999)
182,-10.3561,142.1043,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.1043 -10.3561)
183,-24.806,152.4548,Lepidochelys olivacea,Olive Ridley,1/01/1979,12/01/2021,POINT (152.4548 -24.806)
184,-9.75,143.4167,Lepidochelys olivacea,Olive Ridley,1/01/1978,12/01/2021,POINT (143.4167 -9.74999999999994)
185,-20.684,149.1832,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.1832 -20.684)
186,-10.7217,142.295,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.295 -10.7216999999999)
187,-20.8302,148.8918,Lepidochelys olivacea,Olive Ridley,1/01/1974,12/01/2021,POINT (148.8918 -20.8301999999999)
188,-11.1717,143.015,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (143.015 -11.1716999999999)
189,-24.8483,152.4683,Lepidochelys olivacea,Olive Ridley,1/01/1997,12/01/2021,POINT (152.4683 -24.8482999999999)
190,-10.59,141.91,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (141.91 -10.59)
191,-20.4742,148.8143,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (148.8143 -20.4741999999999)
192,-20.6268,149.072,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.072 -20.6267999999999)
193,-16.5349,139.6289,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (139.6289 -16.5348999999999)
194,-21.1514,149.2034,Lepidochelys olivacea,Olive Ridley,1/01/2001,12/01/2021,POINT (149.2034 -21.1514)
195,-17.3473,139.2873,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (139.2873 -17.3473)
196,-20.5165,148.7068,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (148.7068 -20.5165)
197,-22.329,150.3115,Lepidochelys olivacea,Olive Ridley,1/01/1994,12/01/2021,POINT (150.3115 -22.329)
198,-23.15,150.9733,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (150.9733 -23.15)
199,-22.0553,149.6131,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.6131 -22.0552999999999)
200,-11.4833,143.0167,Lepidochelys olivacea,Olive Ridley,1/01/1997,12/01/2021,POINT (143.0167 -11.4832999999999)
201,-9.1417,143.875,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (143.875 -9.14169999999996)
202,-20.7761,149.3908,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.3908 -20.7760999999999)
203,-9.9567,142.21,Lepidochelys olivacea,Olive Ridley,1/01/1996,12/01/2021,POINT (142.21 -9.95669999999996)
204,-10.1342,142.0839,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.0839 -10.1342)
205,-20.9324,149.4348,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.4348 -20.9324)
206,-23.9,152.3833,Lepidochelys olivacea,Olive Ridley,1/01/1997,12/01/2021,POINT (152.3833 -23.9)
207,-12.8921,143.3497,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.3497 -12.8921)
208,-21.0033,149.8867,Lepidochelys olivacea,Olive Ridley,1/01/2000,12/01/2021,POINT (149.8867 -21.0033)
209,-23.8683,151.3917,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (151.3917 -23.8683)
210,-23.433,151.9167,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (151.9167 -23.4329999999999)
211,-13.4804,143.5831,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.5831 -13.4804)
212,-23.585,151.2267,Lepidochelys olivacea,Olive Ridley,1/01/1998,12/01/2021,POINT (151.2267 -23.585)
213,-16.7702,145.6774,Lepidochelys olivacea,Olive Ridley,1/01/1974,12/01/2021,POINT (145.6774 -16.7701999999999)
214,-11.4167,143.7833,Lepidochelys olivacea,Olive Ridley,1/01/1978,12/01/2021,POINT (143.7833 -11.4166999999999)
215,-21.9927,149.878,Lepidochelys olivacea,Olive Ridley,1/01/2001,12/01/2021,POINT (149.878 -21.9927)
216,-12.8875,143.5456,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (143.5456 -12.8874999999999)
217,-16.748,139.2872,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (139.2872 -16.7479999999999)
218,-10.3535,142.0497,Lepidochelys olivacea,Olive Ridley,1/01/1999,12/01/2021,POINT (142.0497 -10.3534999999999)
219,-24.8154,152.4624,Lepidochelys olivacea,Olive Ridley,1/01/1974,12/01/2021,POINT (152.4624 -24.8154)
